Year,Country,Industry,Sales,Assets,Profits,Market Value,Sales Growth,Assets Growth,Profits Growth,Market Value Growth
2014,Japan,Construction,190979,194128,5872,94581,-0.8704634166597502,-4.360078432145354,60.39333515432941,15.675602954845647
2014,Japan,Consumer Durables,1316586,1555338,56765,831304,-1.0787831794575875,-3.08877133297194,559.9813975119172,14.74935537482125
2014,Japan,Diversified Financials,50421,871502,6746,72790,5.837531486146097,-6.556972774527803,622.2698072805139,27.264144345758435
2014,Japan,Diversified Metals & Mining,160403,172525,5546,53283,-5.576420447856078,-3.31213046767731,389.0652557319224,-3.4623328622676364
2014,Japan,Drugs & Biotechnology,149670,148556,6623,120259,-6.64005239684371,-4.9199004115384355,36.89541132699463,-4.2188346235942475
2014,Japan,Food Markets,62309,52490,2125,40275,-3.86787213033819,-2.6412434618095504,11.607142857142861,16.745898312945684
2014,Japan,"Food, Drink & Tobacco",97741,116819,6892,106214,-1.706591041654093,-7.181903414959711,16.57645466847091,2.8458000484144375
2014,Japan,Health Care Equipment & Services,4628,8214,606,8077,-0.9205737529436986,-1.3925570228091266,107.53424657534248,-2.404543257612368
2014,Japan,"Hotels, Restaurants & Leisure",4677,6375,693,13723,7.517241379310335,-14.761331728840755,78.60824742268042,3.273630343166767
2014,Japan,IT Software & Services,1670,1193,561,6251,-52.28571428571429,-64.91176470588236,124.40000000000002,26.79513184584179
2014,Japan,Insurance,198285,922907,6085,70380,2.4411035337879694,-10.694514464979143,-341.468253968254,2.710038965019046
2014,Japan,Materials,25653,32624,450,6773,-28.2132363229327,-34.27218696484336,-264.2335766423358,-18.827900287631827
2014,Japan,Media,52746,52973,909,21823,-36.47662403352844,-33.44431601165946,-41.80537772087067,-37.557583907980195
2014,Japan,Oil & Gas Operations,289376,207968,6178,59313,-7.63406778957717,-34.78337221845914,-3.0749921556322612,-12.178329236874053
2014,Japan,Real Estate,33757,127244,2221,78170,-22.3048241576137,-24.135340587270825,-5.287846481876334,-12.539998657387718
2014,Japan,Retailing,124421,140639,1681,39691,-17.603078104925764,4.586862594908947,-48.053152039555,-3.64157218809934
2014,Japan,Semiconductors,13824,15195,-249,23572,-24.525005459707362,-22.899330221229953,-20.192307692307686,144.67510898899732
2014,Japan,Technology Hardware & Equipment,54395,40228,265,23388,-15.296334361082565,-13.755252551239172,-448.6842105263157,45.33929903057421
2014,Japan,Telecommunications Services,208618,391988,14936,199057,-0.07041410198069809,18.185079882896705,21.214088621976956,47.93947366465259
2014,Japan,Trading Companies,386195,538522,16688,113053,-6.403517063039088,-2.62600692529541,-17.789053647962948,-6.545370378024485
2014,Japan,Transportation,182227,311647,7517,118138,-10.07264185394645,-18.610688179175728,103.10726830586327,-8.459184068807868
2014,Japan,Utilities,189882,420796,-3650,46003,-9.458847314740204,-23.782510020847713,-80.90704608463672,9.167062173706686
2015,Japan,Airline,28608,31309,1893,20966,-2.010618256550778,-4.896570578050485,3.3861277990169247,25.959747671973577
2015,Japan,Banking,170774,8404750,36396,317805,-11.72691136714893,-7.306106288483449,-10.482561857445027,4.4030591126208
2015,Japan,Business Services & Supplies,99798,170678,7148,119588,6.34683830267897,11.309803307768561,45.19601868779199,57.63887058079145
2015,Japan,Capital Goods,173294,200622,11373,203485,5.3535820242206045,0.6542309274626401,30.17053908664302,18.19459691800118
2015,Japan,Chemicals,139120,149910,7266,102042,3.3980438207925845,2.948851774530281,84.65057179161373,47.055771725032436
2015,Japan,Construction,191617,179374,6691,104841,0.33406814361789383,-7.600140113739384,13.9475476839237,10.847844704538968
2015,Japan,Consumer Durables,1287533,1503679,58593,968818,-2.206692156835943,-3.321400235832983,3.2202941953668685,16.54196298826904
2015,Japan,Diversified Financials,35255,774670,6505,68906,-30.078737034172264,-11.110932619775971,-3.5724873999407047,-5.335897788157718
2015,Japan,Diversified Metals & Mining,166616,158421,5650,58529,3.873368951952272,-8.175047094623967,1.875225387666779,9.845541730007689
2015,Japan,Drugs & Biotechnology,129366,130027,5116,135369,-13.565844858689113,-12.472737553515167,-22.754038955156275,12.564548183503943
2015,Japan,Food Markets,113301,109005,2124,47969,81.83729477282576,107.6681272623357,-0.04705882352941115,19.103662321539417
2015,Japan,"Food, Drink & Tobacco",104535,115971,6363,135327,6.951023623658448,-0.7259093126974259,-7.675565873476497,27.409757659065658
2015,Japan,"Hotels, Restaurants & Leisure",4341,5874,646,28631,-7.1840923669018615,-7.8588235294117625,-6.782106782106778,108.63513808933907
2015,Japan,Insurance,194573,878558,6216,88556,-1.8720528532163327,-4.805359586610569,2.152834839769935,25.825518613242405
2015,Japan,Materials,22694,30324,588,6058,-11.534713288894082,-7.050024521824428,30.666666666666664,-10.556621880998085
2015,Japan,Media,50764,52627,853,24500,-3.757630910400789,-0.6531629320597254,-6.160616061606161,12.266874398570327
2015,Japan,Oil & Gas Operations,297751,196149,344,61561,2.8941584651111407,-5.683085859362979,-94.4318549692457,3.790062886719614
2015,Japan,Real Estate,41462,145332,3464,88629,22.82489557721361,14.215208575649928,55.96578117964881,13.379813227580906
2015,Japan,Retailing,45704,60634,1277,39159,-63.26665112802501,-56.88678104935331,-24.03331350386675,-1.3403542364767818
2015,Japan,Semiconductors,17137,21219,1509,32820,23.965567129629626,39.64461994077,-706.0240963855422,39.23298829119295
2015,Japan,Technology Hardware & Equipment,52189,35814,1300,26803,-4.055519808805952,-10.972456995127766,390.566037735849,14.601505045322384
2015,Japan,Telecommunications Services,227910,384503,14868,205843,9.2475241829564,-1.909497229507029,-0.45527584359935647,3.409073782886307
2015,Japan,Trading Companies,385826,526691,12787,109511,-0.09554758606403757,-2.196939029417555,-23.376078619367213,-3.133043793618917
2015,Japan,Transportation,165371,255719,8211,133720,-9.25000137191525,-17.9459452521603,9.232406545164284,13.189659550694955
2015,Japan,Utilities,188439,359941,-2657,46213,-0.7599456504565949,-14.46187701404006,-27.205479452054792,0.45649196791512914
2016,Japan,Airline,25862,31903,1926,23272,-9.598713646532442,1.8972180523172177,1.7432646592709933,10.99875989697605
2016,Japan,Banking,162819,8685813,28966,259309,-4.658203239368985,3.3440970879562215,-20.414331245191775,-18.406255408190553
2016,Japan,Business Services & Supplies,96960,172937,5284,105923,-2.8437443636144977,1.323544920845099,-26.07722439843313,-11.426731779108268
2016,Japan,Capital Goods,153285,196556,8691,161198,-11.54627396216834,-2.026696972415787,-23.5821682933263,-20.781384377226818
