Year,Country,Industry,Sales,Assets,Profits,Market Value,Sales Growth,Assets Growth,Profits Growth,Market Value Growth,clusters
2014,United States of America,Utilities,299661,1059703,23545,482606,4.971835722,1.898242436,23.16263012,7.288693255,0
2015,United States of America,Aerospace & Defense,257627,285071,20103,358478,6.535799059,8.898413535,15.94762948,15.09341279,0
2015,United States of America,Air Courier,112001,74470,5938,143665,4.934697472,3.457856934,-7.08809263,4.659464264,0
2015,United States of America,Airline,145838,161626,6416,126918,17.04024718,9.082196681,-38.8777746,42.68625842,0
2015,United States of America,Banking,515773,11303206,84962,1228432,1.532916261,8.002615788,-5.017328116,2.688094293,1
2015,United States of America,Business Services & Supplies,151483,279191,14522,342723,11.19568967,15.03211691,36.35680751,16.74796803,0
2015,United States of America,Capital Goods,225393,280754,20279,298197,-2.787506038,-1.03946733,5.581298485,-11.54521562,0
2015,United States of America,Casinos & Gaming,38730,81663,652,70755,2.566139668,-0.289377289,-1031.428571,-33.26573921,0
2015,United States of America,Chemicals,226335,313195,22834,419606,0.481687014,-0.575540939,-14.05126661,-0.154192465,0
2015,United States of America,Conglomerates,338852,929839,34808,639974,3.809862262,-0.281084443,3.315425485,3.51378892,0
2015,United States of America,Construction,78470,74713,4363,59557,-6.252986715,11.13044772,-22.28357677,-5.835757652,0
2015,United States of America,Consumer Durables,969948,974984,51753,1171325,6.891451972,7.01655985,-5.017710647,20.79625027,0
2015,United States of America,Diversified Financials,656986,9460825,96635,1289761,6.373822091,0.994484752,-51.75510856,9.320215867,1
2015,United States of America,Diversified Metals & Mining,108691,170068,-107,72146,-5.993720864,-14.2435015,-95.53235908,-29.4312124,0
2015,United States of America,Drugs & Biotechnology,628993,652605,54608,1455060,14.62642123,3.758390756,1.125925926,19.39992319,0
2015,United States of America,Food Markets,188597,59557,3354,82054,-10.99968854,-14.89182314,-36.38088012,12.15385036,0
2015,United States of America,"Food, Drink & Tobacco",522117,575337,44578,1055378,-4.994149897,-4.601958908,-16.89720741,11.08084526,0
2015,United States of America,Health Care Equipment & Services,835518,878180,54604,1250541,14.43445533,8.116559742,9.319505896,22.28914249,0
2015,United States of America,"Hotels, Restaurants & Leisure",145733,196695,14647,379198,4.834834403,4.978464724,32.67210145,16.58770104,0
2015,United States of America,IT Software & Services,392022,737837,72956,1610644,10.85717194,19.25467144,0.968777679,1.614327822,0
2015,United States of America,Insurance,493731,4052257,41087,501053,1.942715797,-0.466344062,1.45439281,3.752717785,0
2015,United States of America,Materials,75252,83708,4377,83380,-7.331970544,-13.77243042,1.861764021,5.370908631,0
2015,United States of America,Media,384948,729632,47168,875631,6.328358704,1.837772955,2.410004777,10.73409961,0
2015,United States of America,Oil & Gas Operations,1476904,1911933,108681,1629083,-4.882296266,2.798452592,-6.689161343,-10.67399589,0
2015,United States of America,Real Estate,62706,674506,12684,493302,9.293408164,16.97095608,-2.385716485,41.74408013,0
2015,United States of America,Retailing,1616439,824880,45435,1433845,3.345608685,3.390576176,-13.97656058,16.55097014,0
2015,United States of America,Semiconductors,161040,257764,33518,528348,17.35898557,6.623757503,33.08187088,9.793669826,0
2015,United States of America,Technology Hardware & Equipment,430784,593510,68274,1087418,3.303533745,3.596763158,12.99339655,28.31208797,0
2015,United States of America,Telecommunications Services,294323,644589,17432,465490,2.374997826,-3.391979569,-41.57393753,4.640471893,0
2015,United States of America,Transportation,70493,134118,10432,190424,6.904761905,5.214519381,12.59579061,10.01698578,0
